name,verified,verification_method,service_type,is_truck,company_number,company_status,phone,email,website,address,region,source
MOBILE TYRE & SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16750217,active,,,,"Unit 480 Cantrell Road, London, E3 4BN",London,Companies House (mobile tyre)
MOBILE TYRE ASSIST LTD,Yes,Companies House API,Mobile Tyre (General),No,15996995,active,,,,"42 Culver Lane, Reading, RG6 1DY",South East,Companies House (mobile tyre)
MOBILE TYRE BAY LTD,Yes,Companies House API,Mobile Tyre (General),No,15037362,active,,,,"163 West Wycombe Road, Lower Ground Floor, High Wycombe, HP12 3AB",,Companies House (mobile tyre)
MOBILE TYRE BUDDY LTD,Yes,Companies House API,Mobile Tyre (General),No,15179263,active,,,,"19 Radnor Street, Oldham, OL9 7RH",,Companies House (mobile tyre)
MOBILE TYRE CENTRE LTD,Yes,Companies House API,Mobile Tyre (General),No,16592144,active,,,,"20 Wenlock Road, London, N1 7GU",London,Companies House (mobile tyre)
MOBILE TYRE CLINIC LTD,Yes,Companies House API,Mobile Tyre (General),No,13780015,active,,,,"Unit 3e, Autumn Yard, 39 Autumn Street, London, E3 2TT",London,Companies House (mobile tyre)
MOBILE TYRE COMPANY (LAXFIELD) LIMITED,Yes,Companies House API,Mobile Tyre (General),No,13370188,active,,,,"Potash Farm, Dennington Road, Laxfield, Nr Woodbridge, Suffolk, IP13 8HJ",Suffolk,Companies House (mobile tyre)
MOBILE TYRE EXPERTS 24*7 LTD,Yes,Companies House API,Mobile Tyre (General),No,15498767,active,,,,"25 Walnut Tree Road, Hounslow, TW5 0LP",,Companies House (mobile tyre)
MOBILE TYRE EXPERTS LTD,Yes,Companies House API,Mobile Tyre (General),No,15203000,active,,,,"11 Maryland Road, Thornton Heath, Surrey, CR7 8DG",Surrey,Companies House (mobile tyre)
MOBILE TYRE FITTER LTD,Yes,Companies House API,Mobile Tyre (General),No,15243488,active,,,,"34 Galeys Road, Chelysmore, CV3 5GN",,Companies House (mobile tyre)
MOBILE TYRE FITTING BICESTER 24/7 MOBILE TYRE DOCTOR LTD,Yes,Companies House API,Mobile Tyre (General),No,16880970,active,,,,"20 Jesse Terrace, Reading, RG1 7RT",South East,Companies House (mobile tyre)
MOBILE TYRE FITTING CHELMSFORD LTD,Yes,Companies House API,Mobile Tyre (General),No,16742870,active,,,,"Ashtree Farm Boyton Cross, Roxwell, Chelmsford, CM1 4LP",,Companies House (mobile tyre)
MOBILE TYRE FITTING LONDON LTD,Yes,Companies House API,Mobile Tyre (General),No,09352380,active,,,,"84 Brunswick Park Road, London, N11 1JJ",London,Companies House (mobile tyre)
MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16074427,active,,,,"34 Galeys Road, Chelysmore, CV3 5GN",,Companies House (mobile tyre)
MOBILE TYRE FITTING NEAR ME LTD,Yes,Companies House API,Mobile Tyre (General),No,16584789,active,,,,"128 Uxbridge Road, London, W12 8AA",London,Companies House (mobile tyre)
MOBILE TYRE FITTING OXFORD 24/7 MOBILE TYRE DOCTOR LTD,Yes,Companies House API,Mobile Tyre (General),No,16880836,active,,,,"20 Jesse Terrace, Reading, RG1 7RT",South East,Companies House (mobile tyre)
MOBILE TYRE FITTING READING 24/7 MOBILE TYRE DOCTOR LTD,Yes,Companies House API,Mobile Tyre (General),No,16880750,active,,,,"20 Jesse Terrace, Reading, RG1 7RT",South East,Companies House (mobile tyre)
MOBILE TYRE FITTING STRATFORD LTD,Yes,Companies House API,Mobile Tyre (General),No,15521074,active,,,,"49 Maryland Square, Stratford, London, E15 1HF",London,Companies House (mobile tyre)
MOBILE TYRE FITTING TEES VALLEY LTD,Yes,Companies House API,Mobile Tyre (General),No,16389024,active,,,,"6 Heslop Street, Thornaby, Stockton On Tees, TS17 7HA",,Companies House (mobile tyre)
MOBILE TYRE FIXER LTD,Yes,Companies House API,Mobile Tyre (General),No,15443132,active,,,,"34 Galeys Road, Chelysmore, CV3 5GN",,Companies House (mobile tyre)
MOBILE TYRE FORCE LTD,Yes,Companies House API,Mobile Tyre (General),No,14728776,active,,,,"Portland House, Belmont Business Park, Durham, DH1 1TW",North East,Companies House (mobile tyre)
MOBILE TYRE FUSION LTD,Yes,Companies House API,Mobile Tyre (General),No,16907203,active,,,,"142 Windsor Road, Ilford, IG1 1HE",,Companies House (mobile tyre)
MOBILE TYRE GIANT LTD,Yes,Companies House API,Mobile Tyre (General),No,10612276,active,,,,"Gutteridge Works, Western Avenue, Uxbridge, UB10 9AP",,Companies House (mobile tyre)
MOBILE TYRE GROUP LTD,Yes,Companies House API,Mobile Tyre (General),No,16143084,active,,,,"19 Jennings Place, Bradford, West Yorkshire, BD7 3EZ",West Yorkshire,Companies House (mobile tyre)
MOBILE TYRE HUB LTD,Yes,Companies House API,Mobile Tyre (General),No,13417642,active,,,,"03 Eastcourt Avenue, Earley, Reading, RG6 1HH",South East,Companies House (mobile tyre)
MOBILE TYRE LAB LTD,Yes,Companies House API,Mobile Tyre (General),No,16914529,active,,,,"35b Greenleaf Road, London, E17 6QN",London,Companies House (mobile tyre)
MOBILE TYRE LEICESTER LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15261798,active,,,,"389 Abbey Lane, Leicester, LE4 5QJ",East Midlands,Companies House (mobile tyre)
MOBILE TYRE LONDON LTD,Yes,Companies House API,Mobile Tyre (General),No,15950257,active,,,,"11 Florida Road, Thornton Heath, CR7 8EY",,Companies House (mobile tyre)
MOBILE TYRE MATES LTD,Yes,Companies House API,Mobile Tyre (General),No,16667811,active,,,,"172 Newport Road, Aldershot, GU12 4PZ",Wales,Companies House (mobile tyre)
MOBILE TYRE MEDICS LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15959771,active,,,,"6 Fallowfield Drive, Newport, NP19 4TD",Wales,Companies House (mobile tyre)
MOBILE TYRE PROFESSIONALS LIMITED,Yes,Companies House API,Mobile Tyre (General),No,08335032,active,,,,"11 Lynx Crescent, Weston-Super-Mare, BS24 9DJ",,Companies House (mobile tyre)
MOBILE TYRE REPAIR TEAM LTD,Yes,Companies House API,Mobile Tyre (General),No,15949849,active,,,,"662 High Road, London, N12 0NL",London,Companies House (mobile tyre)
MOBILE TYRE REPLACEMENT LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16284277,active,,,,"26 Lottie Road, Birmingham, B29 6JZ",West Midlands,Companies House (mobile tyre)
MOBILE TYRE RESCUE LTD,Yes,Companies House API,Mobile Tyre (General),No,13600322,active,,,,"464 Wokingham Road, Earley, Reading, RG6 7HY",South East,Companies House (mobile tyre)
MOBILE TYRE RESCUE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,16887384,active,,,,"Flat 12 Banstead Court, 50 Westway, London, W12 0QH",London,Companies House (mobile tyre)
MOBILE TYRE RESCUE24/7 LTD,Yes,Companies House API,Mobile Tyre (General),No,16538155,active,,,,"61 Delamare Road, Hayes, UB4 0NN",,Companies House (mobile tyre)
MOBILE TYRE RUNNER LTD,Yes,Companies House API,Mobile Tyre (General),No,16153839,active,,,,"93 Vale Crescent South, Nottingham, NG8 3PQ",East Midlands,Companies House (mobile tyre)
MOBILE TYRE SERVICES 247 LTD,Yes,Companies House API,Mobile Tyre (General),No,16427788,active,,,,"599 London Road, Earley, Reading, Berkshire, RG6 1AT",Berkshire,Companies House (mobile tyre)
MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,13660241,active,,,,"15 Redman Road, High Wycombe, HP12 4PH",,Companies House (mobile tyre)
MOBILE TYRE SERVICES MANCHESTER LIMITED,Yes,Companies House API,Mobile Tyre (General),No,09212733,active,,,,"Unit 1 Sandywood Depot Lumns Lane, Clifton, Swinton, Manchester, M27 8LH",North West,Companies House (mobile tyre)
MOBILE TYRE SOLUTIONS LTD,Yes,Companies House API,Mobile Tyre (General),No,15161657,active,,,,"Acorn House, Bower Street, Oldham, OL1 3PH",,Companies House (mobile tyre)
MOBILE TYRE SPECIALISTS LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15974806,active,,,,"126 Wish Hill, Eastbourne, BN20 9HL",,Companies House (mobile tyre)
MOBILE TYRE SURGEONS LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15550602,active,,,,"39 Granton Road, London, SW16 5AN",London,Companies House (mobile tyre)
MOBILE TYRE TECH LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15765179,active,,,,"6 Free Prae Road, Chertsey, KT16 8EA",,Companies House (mobile tyre)
MOBILE TYRE XPRESS LTD,Yes,Companies House API,Mobile Tyre (General),No,16200071,active,,,,"3 Vienna Close, Ilford, IG5 0PU",,Companies House (mobile tyre)
MOBILE TYRE ZONE LTD,Yes,Companies House API,Mobile Tyre (General),No,15977857,active,,,,"20 Berkeley Avenue, Reading, Berkshire, RG1 6JE",Berkshire,Companies House (mobile tyre)
MOBILE TYREMAN LIMITED,Yes,Companies House API,Mobile Tyre (General),No,13178058,active,,,,"East London Business Centre, 93-101 Greenfield Road, London, E1 1EJ",London,Companies House (mobile tyre)
MOBILE TYRES & MECHANIC LTD,Yes,Companies House API,Mobile Tyre (General),No,14055418,active,,,,"662 High Road, London, N12 0NL",London,Companies House (mobile tyre)
MOBILE TYRES (GOOLE) LIMITED,Yes,Companies House API,Mobile Tyre (General),No,08450293,active,,,,"Mobile Tyres (Goole), Mariners Street, Goole, East Yorkshire, DN14 5BS",East Yorkshire,Companies House (mobile tyre)
MOBILE TYRES 2 U LTD,Yes,Companies House API,Mobile Tyre (General),No,07420840,active,,,,"Southside Farm White Hill, London Road, Wooburn Moor, High Wycombe, Buckinghamshire, HP10 0NN",Buckinghamshire,Companies House (mobile tyre)
MOBILE TYRES 247 LTD,Yes,Companies House API,Mobile Tyre (General),No,15191066,active,,,,"310 High Road, Wood Green, London, N22 8JR",London,Companies House (mobile tyre)
MOBILE TYRES 4 YOU LTD,Yes,Companies House API,Mobile Tyre (General),No,12406929,active,,,,"117 Dartford Rd, Dartford, Kent, DA1 3EN",Kent,Companies House (mobile tyre)
MOBILE TYRES DOCTOR LTD,Yes,Companies House API,Mobile Tyre (General),No,16709742,active,,,,"41 Hogarth Road, Ipswich, IP3 0HA",East of England,Companies House (mobile tyre)
MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,07586783,active,,,,"The Courtyard Shoreham Road, Upper Beeding, Steyning, West Sussex, BN44 3TN",West Sussex,Companies House (mobile tyre)
MOBILE TYRES LOCAL LTD,Yes,Companies House API,Mobile Tyre (General),No,15349702,active,,,,"3rd Floor, 86-90 Paul Street, London, EC2A 4NE",London,Companies House (mobile tyre)
MOBILE TYRES LONDON 247 LTD,Yes,Companies House API,Mobile Tyre (General),No,16950508,active,,,,"310 High Road, Wood Green, London, N22 8JR",London,Companies House (mobile tyre)
MOBILE TYRES NATIONWIDE LTD,Yes,Companies House API,Mobile Tyre (General),No,16163981,active,,,,"129 St. Johns Road, Slough, SL2 5HA",,Companies House (mobile tyre)
MOBILE TYRES NEAR ME LIMITED,Yes,Companies House API,Mobile Tyre (General),No,12720945,active,,,,"152 Rushgrove Avenue, London, NW9 6RE",London,Companies House (mobile tyre)
MOBILE TYRES ONDEMAND LTD,Yes,Companies House API,Mobile Tyre (General),No,15628367,active,,,,"7 Brinkburn Grove, Banbury, OX16 3WX",,Companies House (mobile tyre)
MOBILE TYRES PORTSMOUTH LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16623956,active,,,,"Suite 9 Pine Court Business Centre, 36 Gervis Road, Bournemouth, United Kingdom, BH1 3DH",United Kingdom,Companies House (mobile tyre)
MOBILE TYRES RESCUE LTD,Yes,Companies House API,Mobile Tyre (General),No,SC863876,active,,,,"Flat 1.1 116 Maukinfauld Rd, Glasgow, G32 8TP",Scotland,Companies House (mobile tyre)
MOBILE TYRES SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,15950403,active,,,,"19 Waddon Close, Croydon, CR0 4JT",London,Companies House (mobile tyre)
MOBILE TYRES SOLUTIONS 247 LTD,Yes,Companies House API,Mobile Tyre (General),No,15766173,active,,,,"9 Virginia Way, Reading, RG30 3QJ",South East,Companies House (mobile tyre)
MOBILE TYRES SPECIALISTS CO LTD,Yes,Companies House API,Mobile Tyre (General),No,13257762,active,,,,"162 Broad Street, Chesham, HP5 3ED",,Companies House (mobile tyre)
MOBILE TYRES SURREY LTD,Yes,Companies House API,Mobile Tyre (General),No,13548574,active,,,,"41 Oldfields Road, Sutton, Surrey, SM1 2NB",Surrey,Companies House (mobile tyre)
MTM MOBILE TYRE & RECOVERY SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16930710,active,,,,"Flat 3 Clare House, 49 Uxbridge Road, London, W7 3PX",London,Companies House (mobile tyre service)
NUTTS CORNER TYRES & BREAKDOWN SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,NI711458,active,,,,"42 Belfast Road, Nutts Corner, Crumlin, BT29 4TH",Northern Ireland,Companies House (breakdown tyre)
OLYMPUS MOBILE TYRE FITTING HATFIELD LTD,Yes,Companies House API,Mobile Tyre (General),No,14933347,active,,,,"4 Daffodil Close, Daffodil Close, Hatfield, AL10 9FF",,Companies House (mobile tyre fitting)
OLYMPUS MOBILE TYRE FITTING ST ALBANS LTD,Yes,Companies House API,Mobile Tyre (General),No,14805012,active,,,,"Office 205, 2 Fountain Court Regus Victoria Street, St. Albans, AL1 3TF",,Companies House (mobile tyre fitting)
OXBRIDGE MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,15137408,active,,,,"42-44 Adelaide Street, Bradford, BD5 0EA",Yorkshire,Companies House (mobile tyre fitting)
PRIME MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16183750,active,,,,"190 Billet Road, London, E17 5DX",London,Companies House (mobile tyre fitting)
PROF'S MOBILE TYRES AND SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,14338291,active,,,,"3 Felton Close, Borehamwood, WD6 4LF",,Companies House (mobile tyre service)
PROMPT 24/7 MOBILE TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,11141648,active,,,,"06 Hermitage Close, Farnborough, GU14 6UQ",,Companies House (mobile tyre service)
PUMP TO GO 24/7 MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,15460073,active,,,,"38 Frayslea, Uxbridge, UB8 2AT",,Companies House (mobile tyre service)
RANGER TYRE MOBILE FITTING SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,13824103,active,,,,"33 Holloway, Birmingham, B31 1TP",West Midlands,Companies House (mobile tyre fitting)
RAPID FIT TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,07366097,active,,,,"61 Fairfield Road, West Drayton, West Drayton, Middlesex, UB7 8EZ",Middlesex,Companies House (rapid tyre)
RAPID MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15084039,active,,,,"Basement Flat 46 Basement Flat 46, Morden Road, Newport, NP19 7ES",Wales,Companies House (rapid tyre)
RAPID RESPONSE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16024054,active,,,,"31 Villiers Street, Sunniside, Sunderland, Tyne And Wear, SR1 1EJ",Tyne And Wear,Companies House (rapid tyre)
RAPID TYRE 247 LTD,Yes,Companies House API,Mobile Tyre (General),No,16823077,active,,,,"Unit 15a Slough Business Park, 94 Farnham Road, Slough, SL1 3FQ",,Companies House (rapid tyre)
RAPID TYRE DISTRIBUTION LTD,Yes,Companies House API,Mobile Tyre (General),No,NI728714,active,,,,"10 Cloughreagh Park, Bessbrook, Newry, BT35 7EJ",Northern Ireland,Companies House (rapid tyre)
RAPID TYRE SERVICE (WHOLESALE) LTD,Yes,Companies House API,Mobile Tyre (General),No,16235001,active,,,,"63 Knightlow Road, Birmingham, B17 8PX",West Midlands,Companies House (rapid tyre)
RAPID TYRE SERVICE AND SUPPLIES LTD,Yes,Companies House API,Mobile Tyre (General),No,16768133,active,,,,"Flat 25 Romsley Hill Grange Farley Lane, Romsley, Halesowen, B62 0LN",,Companies House (rapid tyre)
RAPID TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,13390328,active,,,,"Huntington Accountancy 15 Stag Drive, Huntington, Cannock, WS12 4UJ",,Companies House (rapid tyre)
RAPID TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,SC836183,active,,,,"19 Wilson Court, Bellshill, ML4 3DB",Scotland,Companies House (rapid tyre)
REALDEAL MOBILE TYRES AND MECHANICALS SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,11514456,active,,,,"11514456 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",Wales,Companies House (mobile tyre service)
RICHIE’S MOBILE TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,14723571,active,,,,"24 Milling Road, Edgware, HA8 0PL",,Companies House (mobile tyre service)
RK TYRES & ROADSIDE RECOVERY LTD,Yes,Companies House API,Mobile Tyre (General),No,SC801273,active,,,,"21 Greenhill Road, Paisley, Renfrewshire, PA3 1RN",Renfrewshire,Companies House (roadside tyre)
ROAD HERO MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16398326,active,,,,"472a Green Lanes, London, N13 5PA",London,Companies House (mobile tyre fitting)
ROADSIDE TYRE ASSISTANCE LTD,Yes,Companies House API,Mobile Tyre (General),No,14588981,active,,,,"36 Lichfield Street, Walsall, WS1 1TJ",West Midlands,Companies House (roadside tyre)
ROADSIDE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16488641,active,,,,"Unit 1, Rear Of Pmj House, Highlands Road, Solihull, B90 4ND",Yorkshire,Companies House (roadside tyre)
ROADSIDE TYRES (THAMES VALLEY) LIMITED,Yes,Companies House API,Mobile Tyre (General),No,09490494,active,,,,"Goose Green, 119 Turnpike Road, Newbury, West Berkshire, RG14 2QR",West Berkshire,Companies House (roadside tyre)
ROADSIDE TYRES 24HR LTD,Yes,Companies House API,Mobile Tyre (General),No,16020998,active,,,,"Harley House, 29 Cambray Place, Cheltenham, GL50 1JN",,Companies House (roadside tyre)
ROADSIDE TYRES ASSIST LIMITED,Yes,Companies House API,Mobile Tyre (General),No,11673422,active,,,,"5 Ivegate Yeadon, Leeds, West Yorkshire, LS19 7RE",West Yorkshire,Companies House (roadside tyre)
ROADSIDE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,12513828,active,,,,"27 Old Gloucester Street, London, WC1N 3AX",London,Companies House (roadside tyre)
ROADSIDETYRESMOBILE LIMITED,Yes,Companies House API,Mobile Tyre (General),No,SC843203,active,,,,"56 Whitacres Road, Glasgow, G53 7LJ",Scotland,Companies House (roadside tyre)
RTM MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,SC801397,active,,,,"40-42 Brantwood Avenue, Dundee, DD3 6EW",Scotland,Companies House (mobile tyre fitting)
SIMS AUTOS MOBILE TYRE SERVICE LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16809907,active,,,,"35 Pilot Hight Road, Bournemouth, BH11 8EY",South West,Companies House (mobile tyre service)
STAFFORD BREAKDOWN & 24HR MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,13031158,active,,,,"C/O Kb Accountancy, Synchro House, Etruria Road, Newcastle, ST5 0SY",North East,Companies House (breakdown tyre)
T.D MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16313683,active,,,,"Flat 42, Alfreda Court, Alfreda Street, London, SW11 5HQ",London,Companies House (mobile tyre fitting)
TADWORTH MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16703539,active,,,,"11 Waterfield Green, Tadworth, KT20 5HY",,Companies House (mobile tyre fitting)
TECH AND TYRES MOBILE VEHICLE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,14960137,active,,,,"Holloway House Epsom Square, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XG",Wiltshire,Companies House (mobile tyre service)
THE MOBILE TYRE SERVICE (MILTON KEYNES) LTD,Yes,Companies House API,Mobile Tyre (General),No,12258698,active,,,,"The Stable Yard Vicarage Road, Stony Stratford, Milton Keynes, Buckinghamshire, MK11 1BN",Buckinghamshire,Companies House (mobile tyre service)
THE ROADSIDE MOBILE TYRE COMPANY LTD,Yes,Companies House API,Mobile Tyre (General),No,14578825,active,,,,"103 Belgrave Road, Slough, SL1 3RA",,Companies House (roadside tyre)
TIM'S MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16676631,active,,,,"8 Elm Walk, Higham Ferrers, Rushden, NN10 8HE",,Companies House (mobile tyre service)
TOP TYRES MOBILE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,12858232,active,,,,"18 Adelphi Crescent, Hayes, UB4 8LZ",,Companies House (mobile tyre service)
TYRE BREAKDOWNS LTD,Yes,Companies House API,Mobile Tyre (General),No,16352706,active,,,,"Unit 1 Generator Hall, Electric Wharf, Coventry, CV1 4JL",West Midlands,Companies House (breakdown tyre)
TYRE EMERGENCY LTD,Yes,Companies House API,Mobile Tyre (General),No,15362025,active,,,,"41 Sir Brian Way, Bilsthorpe, Newark, NG22 8GA",,Companies House (emergency tyre)
TYRE TEK MOBILE SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15615314,active,,,,"First Floor, 1, Edmund Street, Bradford, West Yorkshire, BD5 0BH",West Yorkshire,Companies House (mobile tyre service)
TYRE WRIGHT MOBILE TYRE SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,12646344,active,,,,"35 Albert Terrace, Oakenshaw, Bradford, BD12 7AX",Yorkshire,Companies House (mobile tyre service)
TYRES & TYRES - 24 HOUR EMERGENCY CALL OUT LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16864020,active,,,,"189c Brent Crescent, London, NW10 7XR",London,Companies House (24 hour tyre)
TYREX MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16250411,active,,,,"113 Downing Close, Ipswich, IP2 9EQ",East of England,Companies House (mobile tyre fitting)
UK MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16449482,active,,,,"Quadrant Court, 44/45 Calthorpe Road, Edgbaston, Birmingham, United Kingdom (+44), B15 1TH",United Kingdom (+44),Companies House (mobile tyre fitting)
WEALDEN MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16460269,active,,,,"Woolpack Corner Farm, Woolpack Corner, Ashford, TN27 8BU",,Companies House (mobile tyre service)
WILSON’S MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,13244916,active,,,,"3 Cambridge Terrace, Richmond Avenue, Margate, CT9 2NF",East of England,Companies House (emergency tyre)
WM TYRES MOBILE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,08959854,active,,,,"Premier House, Rolfe Street, Smethwick, West Midlands, B66 2AA",West Midlands,Companies House (mobile tyre service)
XPRESS MOBILE TYRES SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16862912,active,,,,"Flat 27 The Odeon 22-30 Longbridge Road, Barking, IG11 8RR",,Companies House (mobile tyre service)
ZAK MOBILE TYRES FITTINGS LTD,Yes,Companies House API,Mobile Tyre (General),No,12692286,active,,,,"6 Ynys Bridge Court, Gwaelod-Y-Garth, Cardiff, CF15 9SS",Wales,Companies House (mobile tyre fitting)
